kernelName,size,threads,blocks,kernelRuntimePercent,kernelRuntimeTime,memcpyHtoDPercent,memcpyHtoDTime,memcpyDtoHPercent,memcpyDtoHTime
matAddRow,128,32,8192,0.00%,1.8000us,,,,
matAddRow,4,32,1024,0.00%,2.3000us,,,,
matAddRow,4,32,128,0.00%,1.3000us,,,,
matAddRow,4,32,16,0.00%,2.0000us,,,,
matAddRow,4,32,2048,0.00%,1.7000us,,,,
matAddRow,4,32,256,0.00%,1.5000us,,,,
matAddRow,4,32,32,0.00%,1.7000us,,,,
matAddRow,4,32,4096,0.00%,2.2000us,,,,
matAddRow,4,32,512,0.00%,1.1000us,,,,
matAddRow,4,32,64,0.00%,2.1000us,,,,
matAddRow,4,32,8192,0.00%,1.8000us,,,,
